epoch,accuracy,loss,val_accuracy,val_loss
0,0.3614724576473236,1.3313905000686646,0.44668588042259216,1.2765896320343018
1,0.6363133192062378,0.9924253821372986,0.651296854019165,0.929195761680603
2,0.7890949249267578,0.5823668837547302,0.6974063515663147,0.7876966595649719
3,0.8425131440162659,0.41908061504364014,0.680115282535553,0.8032060265541077
4,0.8823692202568054,0.3320847451686859,0.6916426420211792,0.8554472923278809
5,0.9083864092826843,0.2693946659564972,0.6772334575653076,0.9153281450271606
6,0.924439549446106,0.2247036099433899,0.680115282535553,0.9521017670631409
7,0.9382784366607666,0.19025889039039612,0.6714697480201721,1.0286346673965454
8,0.9463050365447998,0.16643966734409332,0.6743515729904175,1.0828323364257812
9,0.9579296708106995,0.14257030189037323,0.6714697480201721,1.1838812828063965
10,0.9620813727378845,0.12476547062397003,0.6829971075057983,1.1917531490325928
11,0.9662330746650696,0.11520740389823914,0.6887608170509338,1.2145394086837769
12,0.9667866230010986,0.1056370660662651,0.6858789920806885,1.2919321060180664
13,0.9692776203155518,0.10286363214254379,0.6714697480201721,1.366107702255249
14,0.9712150692939758,0.09108898788690567,0.6916426420211792,1.367098331451416
15,0.9712150692939758,0.08548490703105927,0.7002881765365601,1.426303744316101
16,0.972045361995697,0.08496497571468353,0.6743515729904175,1.462564468383789
17,0.9753667116165161,0.08086469024419785,0.6743515729904175,1.5466301441192627
18,0.9739828109741211,0.07642936706542969,0.6858789920806885,1.5027681589126587
19,0.9775809645652771,0.07272637635469437,0.6829971075057983,1.5682121515274048
20,0.975089967250824,0.07470612972974777,0.6599423885345459,1.6446985006332397
21,0.976473867893219,0.07366789877414703,0.6714697480201721,1.6004382371902466
22,0.975643515586853,0.0728912204504013,0.6858789920806885,1.5908998250961304
23,0.9773041605949402,0.06528425216674805,0.6628242135047913,1.6748608350753784
24,0.9784113168716431,0.06876038014888763,0.680115282535553,1.7108896970748901
